INIT_GPS_LOG,,,
-1,-1,-1,4294967295
INIT_GPS_LOG,,,
-1,-1,-1,4294967295
-1,-1,-1,4294967295
-1,-1,-1,4294967295
123455,39.70336,-77.32872,124
123459,39.70334,-77.32872,125
123500,39.70335,-77.32872,125
123501,39.70333,-77.32871,125
123502,39.70333,-77.32871,126
123503,39.70333,-77.32872,127
123504,39.70333,-77.32872,128
123505,39.70334,-77.32872,128
123506,39.70334,-77.32872,127
123507,39.70334,-77.32872,128
123508,39.70335,-77.32872,127
123509,39.70335,-77.32872,127
123510,39.70335,-77.32871,127
123511,39.70334,-77.32871,127
123512,39.70334,-77.32871,126
123513,39.70334,-77.32872,126
123514,39.70334,-77.32872,126
123515,39.70335,-77.32872,126
123516,39.70334,-77.32872,126
123518,39.70335,-77.32872,126
123519,39.70335,-77.32872,126
123520,39.70335,-77.32872,126
123521,39.70335,-77.32872,126
123522,39.70335,-77.32872,126
123523,39.70335,-77.32872,126
123524,39.70335,-77.32872,126
123525,39.70335,-77.32873,126
123526,39.70335,-77.32873,126
123527,39.70335,-77.32873,127
123528,39.70335,-77.32873,127
123529,39.70335,-77.32873,127
123530,39.70335,-77.32873,127
123531,39.70335,-77.32873,127
123532,39.70335,-77.32873,127
123533,39.70335,-77.32873,127
123534,39.70335,-77.32873,127
123535,39.70335,-77.32873,128
123536,39.70335,-77.32873,128
123537,39.70335,-77.32874,128
123538,39.70335,-77.32874,128
123539,39.70335,-77.32874,128
123540,39.70335,-77.32874,128
123541,39.70335,-77.32874,128
123542,39.70335,-77.32873,128
123543,39.70335,-77.32873,128
123544,39.70335,-77.32873,128
123545,39.70335,-77.32873,128
123546,39.70335,-77.32873,128
123547,39.70336,-77.32873,128
123548,39.70336,-77.32873,128
123549,39.70336,-77.32873,128
123550,39.70336,-77.32873,127
123551,39.70336,-77.32873,127
123552,39.70336,-77.32873,127
123553,39.70336,-77.32873,127
123554,39.70336,-77.32873,127
123555,39.70337,-77.32873,127
123556,39.70337,-77.32873,127
123557,39.70337,-77.32873,127
123558,39.70337,-77.32873,127
123559,39.70337,-77.32873,127
123600,39.70337,-77.32873,127
123601,39.70337,-77.32873,127
123602,39.70336,-77.32873,127
123603,39.70336,-77.32874,127
123604,39.70336,-77.32874,127
123605,39.70336,-77.32874,127
123606,39.70336,-77.32874,127
123607,39.70336,-77.32874,127
123608,39.70336,-77.32874,127
123609,39.70336,-77.32874,127
123610,39.70336,-77.32875,127
123611,39.70336,-77.32875,127
123612,39.70336,-77.32875,127
123613,39.70336,-77.32875,127
123614,39.70336,-77.32875,127
123615,39.70336,-77.32874,127
123616,39.70336,-77.32874,127
123617,39.70336,-77.32874,127
123618,39.70336,-77.32874,127
123619,39.70336,-77.32874,127
123620,39.70336,-77.32874,127
123621,39.70336,-77.32874,127
123622,39.70336,-77.32874,127
123623,39.70336,-77.32874,127
123624,39.70336,-77.32874,127
123625,39.70336,-77.32874,128
123626,39.70336,-77.32874,128
123627,39.70336,-77.32874,128
123628,39.70336,-77.32874,128
123629,39.70336,-77.32874,128
123630,39.70336,-77.32874,128
123631,39.70336,-77.32874,128
123632,39.70336,-77.32874,128
123633,39.70336,-77.32874,128
123634,39.70336,-77.32874,128
123635,39.70335,-77.32874,128
123636,39.70335,-77.32874,128
123637,39.70335,-77.32874,128
123638,39.70335,-77.32874,128
123639,39.70335,-77.32874,128
123640,39.70335,-77.32874,127
123641,39.70335,-77.32874,127
123642,39.70335,-77.32874,127
123643,39.70335,-77.32874,127
123644,39.70335,-77.32874,128
123645,39.70335,-77.32874,127
123646,39.70335,-77.32874,127
123647,39.70335,-77.32874,127
123648,39.70335,-77.32874,127
123648,39.70335,-77.32874,127
123648,39.70335,-77.32874,127
123651,39.70335,-77.32875,128
123652,39.70335,-77.32874,128
123653,39.70335,-77.32874,128
123654,39.70335,-77.32874,127
123655,39.70335,-77.32874,127
123656,39.70335,-77.32874,127
123657,39.70335,-77.32874,128
123658,39.70335,-77.32874,128
123659,39.70335,-77.32874,127
123700,39.70335,-77.32874,127
123701,39.70335,-77.32874,127
123702,39.70335,-77.32874,127
123703,39.70335,-77.32874,128
123704,39.70335,-77.32874,128
123705,39.70335,-77.32874,128
123707,39.70335,-77.32874,128
123708,39.70335,-77.32874,128
123709,39.70335,-77.32874,128
123710,39.70335,-77.32874,128
123711,39.70335,-77.32874,128
123712,39.70335,-77.32874,128
123713,39.70335,-77.32874,128
123714,39.70335,-77.32874,128
123715,39.70335,-77.32874,127
123716,39.70335,-77.32874,127
123717,39.70335,-77.32874,127
123718,39.70335,-77.32874,127
123719,39.70335,-77.32874,127
123720,39.70335,-77.32874,127
123721,39.70336,-77.32874,127
123722,39.70336,-77.32874,127
123723,39.70336,-77.32874,127
123724,39.70336,-77.32874,127
123725,39.70336,-77.32874,127
123726,39.70336,-77.32874,127
123727,39.70336,-77.32874,127
123728,39.70336,-77.32874,127
123729,39.70336,-77.32874,127
123730,39.70336,-77.32874,127
123731,39.70336,-77.32874,126
123732,39.70336,-77.32874,126
123733,39.70336,-77.32874,127
123734,39.70336,-77.32874,127
123735,39.70336,-77.32874,127
123736,39.70336,-77.32874,127
123737,39.70336,-77.32874,127
123738,39.70336,-77.32874,127
123739,39.70336,-77.32874,127
123740,39.70336,-77.32874,127
123741,39.70336,-77.32874,126
123742,39.70336,-77.32874,126
123743,39.70335,-77.32874,126
123744,39.70335,-77.32874,126
123745,39.70335,-77.32874,126
123746,39.70335,-77.32874,126
123747,39.70335,-77.32874,126
123748,39.70335,-77.32874,126
